movie,actor,year,role
Four weedings and a funeral,Kenneth Griffith,1994,Mad Old Man - Wedding One (as Kenneth Griffiths)
Four weedings and a funeral,David Haig,1994,Bernard the Groom - Wedding Two
Four weedings and a funeral,Sophie Thompson,1994,Lydia the Bride - Wedding Two
Four weedings and a funeral,Corin Redgrave,1994,Hamish - Wedding Two
Four weedings and a funeral,Donald Weedon,1994,Master of Ceremonies - Wedding Two
Four weedings and a funeral,Nigel Hastings,1994,Tea-Tasting Alistair - Wedding Two
Four weedings and a funeral,Emily Morgan,1994,Vomiting Veronica - Wedding Two
Four weedings and a funeral,Amanda Mealing,1994,Naughty Nicki - Wedding Two
Four weedings and a funeral,Melissa Knatchbull,1994,Mocking Martha - Wedding Two
Four weedings and a funeral,Polly Kemp,1994,Miss Piggy - Wedding Two
Four weedings and a funeral,Anna Chancellor,1994,Henrietta - Wedding Two
Four weedings and a funeral,Hannah Taylor Gordon,1994,Young Bridesmaid - Wedding Two
Four weedings and a funeral,Bernice Stegers,1994,Shop Assistant - Wedding Two
Four weedings and a funeral,Robert Lang,1994,Lord Hibbott - Wedding Two
Four weedings and a funeral,Jeremy Kemp,1994,Sir John Delaney - Wedding Two
Four weedings and a funeral,Rosalie Crutchley,1994,Mrs. Beaumont - Wedding Two
Four weedings and a funeral,Ken Drury,1994,Vicar - Wedding Three
Four weedings and a funeral,Struan Rodger,1994,Best Man - Wedding Three
Four weedings and a funeral,Lucy Hornak,1994,Married Woman - Wedding Three (as Lucy Hornack)
Four weedings and a funeral,Randall Paul,1994,Chester - Wedding Three
Four weedings and a funeral,Pat Starr,1994,Gareth's Dance Partner - Wedding Three
Four weedings and a funeral,Tim Thomas,1994,Doctor - Wedding Three
Four weedings and a funeral,Neville Phillips,1994,Vicar - Funeral
Four weedings and a funeral,Susanna Hamnett,1994,Deirdre - Wedding Four
Four weedings and a funeral,John Abbott,1994,Polite Verger - Wedding Four
Four weedings and a funeral,Richard Butler,1994,Vicar - Wedding Four
Four weedings and a funeral,David Wright,1994,Rock and Roll Band Member - Wedding One
Four weedings and a funeral,Ray Uren,1994,Rock and Roll Band Member - Wedding One
Four weedings and a funeral,Gordon Blackwell,1994,Rock and Roll Band Member - Wedding One
Four weedings and a funeral,Ron Griffiths,1994,Rock and Roll Band Member - Wedding One
Four weedings and a funeral,Richard Allen,1994,Swing Band Member - Wedding Two
Four weedings and a funeral,Mark James,1994,Swing Band Member - Wedding Two
Four weedings and a funeral,Jason Bruer,1994,Swing Band Member - Wedding Two
Four weedings and a funeral,Simon Wallace,1994,Swing Band Member - Wedding Two
Four weedings and a funeral,Jason McDermid,1994,Swing Band Member - Wedding Two
Four weedings and a funeral,Bryn Burrows,1994,Swing Band Member - Wedding Two
Four weedings and a funeral,Paulette Ivory,1994,Swing Band Member - Wedding Two
Alien: Resurrection,Sigourney Weaver,1997,Ellen Ripley
Alien: Resurrection,Winona Ryder,1997,Annalee Call
Alien: Resurrection,Dominique Pinon,1997,Vriess
Alien: Resurrection,Ron Perlman,1997,Johner
Alien: Resurrection,Gary Dourdan,1997,Christie
Alien: Resurrection,Michael Wincott,1997,Frank Elgyn
Alien: Resurrection,Kim Flowers,1997,Sabra Hillard
Alien: Resurrection,Dan Hedaya,1997,Gen. Martin Perez
Alien: Resurrection,J.E. Freeman,1997,Dr. Mason Wren
Alien: Resurrection,Brad Dourif,1997,Dr. Jonathan Gediman
Alien: Resurrection,Raymond Cruz,1997,Vincent Distephano
Alien: Resurrection,Leland Orser,1997,Larry Purvis
Alien: Resurrection,Carolyn Campbell,1997,Carlyn Williamson (Anesthesiologist)
Alien: Resurrection,Marlene Bush,1997,Scientist
Alien: Resurrection,David St. James,1997,Surgeon
Alien: Resurrection,Rodney Mitchell,1997,Soldier with Glove
Alien: Resurrection,Robert Faltisco,1997,Soldier Shot Through Helmet
Alien: Resurrection,David Rowe,1997,Frozen Soldier
Alien: Resurrection,Garrett House,1997,Soldier
Alien: Resurrection,Rod Damer,1997,Soldier
Alien: Resurrection,Mark Mansfield,1997,Soldier
Alien: Resurrection,Daniel Raymont,1997,Soldier
Alien: Resurrection,Cris D'Annunzio,1997,Soldier (as Chip Nuzzo)
Alien: Resurrection,Steven Gilborn,1997,Father (voice)
Alien: Resurrection,Robert Bastens,1997,Sleeper
Alien: Resurrection,Rico Bueno,1997,Sleeper
Alien: Resurrection,Alex Lorre,1997,Sleeper
Alien: Resurrection,Ronald Ramessar,1997,Sleeper (as Ron Ramessar)
Alien: Resurrection,Nicole Fellows,1997,Young Ripley
Alien: Resurrection,Tom Woodruff Jr.,1997,Lead Alien
Alien: Resurrection,Joan La Barbara,1997,Newborn Vocal 1 (voice)
Alien: Resurrection,Archie Hahn,1997,Newborn Vocal 2 (voice)
Pulp Fiction,Tim Roth,1994,Pumpkin / Ringo
Pulp Fiction,Amanda Plummer,1994,Honey Bunny / Yolanda
Pulp Fiction,Laura Lovelace,1994,Waitress
Pulp Fiction,John Travolta,1994,Vincent Vega
Pulp Fiction,Samuel L. Jackson,1994,Jules Winnfield
Pulp Fiction,Phil LaMarr,1994,Marvin
Pulp Fiction,Frank Whaley,1994,Brett
Pulp Fiction,Burr Steers,1994,Roger
Pulp Fiction,Bruce Willis,1994,Butch Coolidge
Pulp Fiction,Ving Rhames,1994,Marsellus Wallace
Pulp Fiction,Paul Calderon,1994,Paul / English Bob
Pulp Fiction,Bronagh Gallagher,1994,Trudi
Pulp Fiction,Rosanna Arquette,1994,Jody
Pulp Fiction,Eric Stoltz,1994,Lance
Pulp Fiction,Uma Thurman,1994,Mia Wallace
Pulp Fiction,Jerome Patrick Hoban,1994,Ed Sullivan
Pulp Fiction,Michael Gilden,1994,Phillip Morris Page
Pulp Fiction,Gary Shorelle,1994,Ricky Nelson
Pulp Fiction,Susan Griffiths,1994,Marilyn Monroe
Pulp Fiction,Eric Clark,1994,James Dean
Pulp Fiction,Joseph Pilato,1994,Dean Martin
Pulp Fiction,Brad Blumenthal,1994,Jerry Lewis (as Brad Parker)
Pulp Fiction,Steve Buscemi,1994,Buddy Holly
Pulp Fiction,Lorelei Leslie,1994,Mamie van Doren
Pulp Fiction,Emil Sitka,1994,Hold Hands You Lovebirds (archive footage)
Pulp Fiction,Brenda Hillhouse,1994,Butch's Mother
Pulp Fiction,Christopher Walken,1994,Captain Koons
Pulp Fiction,Chandler Lindauer,1994,Young Butch
Pulp Fiction,Sy Sher,1994,Klondike
Pulp Fiction,Robert Ruth,1994,Sportscaster 1 / Coffee Shop
Pulp Fiction,Rich Turner,1994,Sportscaster 2
Pulp Fiction,Angela Jones,1994,Esmarelda Villalobos
Pulp Fiction,Don Blakely,1994,Wilson's Trainer
Pulp Fiction,Carl Allen,1994,Dead Floyd Wilson
Pulp Fiction,Maria de Medeiros,1994,Fabienne
Pulp Fiction,Karen Maruyama,1994,Gawker 1
Pulp Fiction,Kathy Griffin,1994,Hit-and-run Witness
Pulp Fiction,Venessia Valentino,1994,Pedestrian / Bonnie Dimmick
Pulp Fiction,Linda Kaye,1994,Shot Woman
Pulp Fiction,Duane Whitaker,1994,Maynard
Pulp Fiction,Peter Greene,1994,Zed
Pulp Fiction,Stephen Hibbert,1994,The Gimp
Pulp Fiction,Alexis Arquette,1994,Fourth Man
Pulp Fiction,Quentin Tarantino,1994,Jimmie Dimmick
Pulp Fiction,Harvey Keitel,1994,The Wolf
Pulp Fiction,Julia Sweeney,1994,Raquel
Pulp Fiction,Lawrence Bender,1994,Long Hair Yuppy-Scum
Fight Club,Edward Norton,1999,The Narrator
Fight Club,Brad Pitt,1999,Tyler Durden
Fight Club,Helena Bonham Carter,1999,Marla Singer
Fight Club,Meat Loaf,1999,Robert 'Bob' Paulsen (as Meat Loaf Aday)
Fight Club,Zach Grenier,1999,Richard Chesler
Fight Club,Richmond Arquette,1999,Intern
Fight Club,David Andrews,1999,Thomas
Fight Club,George Maguire,1999,Group Leader
Fight Club,Eugenie Bondurant,1999,Weeping Woman
Fight Club,Christina Cabot,1999,Group Leader
Fight Club,Sydney 'Big Dawg' Colston,1999,Speaker
Fight Club,Rachel Singer,1999,Chloe
Fight Club,Christie Cronenweth,1999,Airline Attendant
Fight Club,Tim De Zarn,1999,Inspector Bird (as Tim de Zarn)
Fight Club,Ezra Buzzington,1999,Inspector Dent
Fight Club,Dierdre Downing-Jackson,1999,Woman on Plane
Fight Club,Bob Stephenson,1999,Airport Security Officer (as Robert J. Stephenson)
Fight Club,Charlie Dell,1999,Doorman
Fight Club,Rob Lanza,1999,Man in Suit
Fight Club,David Lee Smith,1999,Walter
Fight Club,Holt McCallany,1999,The Mechanic
Fight Club,Joel Bissonnette,1999,Food Court Maitre D'
Fight Club,Eion Bailey,1999,Ricky
Fight Club,Evan Mirand,1999,Steph
Fight Club,Robby Robinson,1999,Next Month's Opponent
Fight Club,Lou Beatty Jr.,1999,Cop at Marla's Building
Fight Club,Thom Gossom Jr.,1999,Detective Stern
Fight Club,Valerie Bickford,1999,Susan, Cosmetics Dealer
Fight Club,Jared Leto,1999,Angel Face
Fight Club,Peter Iacangelo,1999,Lou
Fight Club,Carl Ciarfalio,1999,Lou's Body Guard (as Carl N. Ciarfalio)
Fight Club,Stuart Blumberg,1999,Car Salesman
Fight Club,Todd Peirce,1999,Man 1 at Auto Shop
Fight Club,Mark Fite,1999,Man 2 at Auto Shop
Fight Club,Matt Winston,1999,Seminary Student
Fight Club,Joon Kim,1999,Raymond K. Hessel (as Joon B. Kim)
Fight Club,Bennie Moore,1999,Bus main.Driver with Broken Nose (as Bennie E. Moore Jr.)
Fight Club,Lauren Sanchez,1999,Channel 4 Reporter (as W. Lauren Sanchez)
Fight Club,Pat McNamara,1999,Police Commissioner Jacobs
Fight Club,Tyrone R. Livingston,1999,Banquet Speaker
Fight Club,Owen Masterson,1999,Airport Valet
Fight Club,David Jean Thomas,1999,Policeman (as David Jean-Thomas)
Fight Club,Paul Carafotes,1999,Salvator, Winking Bartender
Fight Club,Christopher John Fields,1999,Proprietor of Dry Cleaners
Fight Club,Anderson Bourell,1999,Bruised Bar Patron 1
Fight Club,Scotch Ellis Loring,1999,Bruised Bar Patron 2
Fight Club,Michael Shamus Wiles,1999,Bartender in Halo
Fight Club,Andi Carnick,1999,Hotel Desk Clerk
Fight Club,Edward Kowalczyk,1999,Waiter at Clifton's
Fight Club,Leonard Termo,1999,Desk Sergeant
Fight Club,Van Quattro,1999,Detective Andrew
Fight Club,Markus Redmond,1999,Detective Kevin
Fight Club,Michael Girardin,1999,Detective Walker
American History X,Edward Norton,1998,Derek Vinyard
American History X,Edward Furlong,1998,Danny Vinyard
American History X,Beverly D'Angelo,1998,Doris Vinyard
